slug,truth,frac,yes_mid
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.0,0.64
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.05263157894736842,0.67
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.10526315789473684,0.6733333333333333
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.15789473684210525,0.6783333333333333
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.21052631578947367,0.6766666666666667
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.2631578947368421,0.6733333333333333
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.3157894736842105,0.6783333333333333
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.3684210526315789,0.6733333333333335
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.42105263157894735,0.6666666666666666
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.47368421052631576,0.6699999999999999
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.5263157894736842,0.6666666666666666
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.5789473684210527,0.665
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.631578947368421,0.66
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.6842105263157894,0.65
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.7368421052631579,0.6533333333333334
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.7894736842105263,0.6466666666666667
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.8421052631578947,0.6416666666666667
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.894736842105263,0.6433333333333333
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,0.9473684210526315,0.6433333333333333
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,1.0,1.0,0.6433333333333333
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.0,0.5
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.05263157894736842,0.4716666666666667
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.10526315789473684,0.3983333333333334
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.15789473684210525,0.35000000000000003
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.21052631578947367,0.345
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.2631578947368421,0.2783333333333333
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.3157894736842105,0.2833333333333334
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.3684210526315789,0.285
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.42105263157894735,0.34500000000000003
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.47368421052631576,0.2733333333333334
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.5263157894736842,0.2816666666666667
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.5789473684210527,0.2783333333333333
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.631578947368421,0.2733333333333334
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.6842105263157894,0.26666666666666666
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.7368421052631579,0.26833333333333337
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.7894736842105263,0.24833333333333332
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.8421052631578947,0.33499999999999996
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.894736842105263,0.33499999999999996
will-trump-deploy-national-guard-in-dc-by-monday,1.0,0.9473684210526315,0.24
will-trump-deploy-national-guard-in-dc-by-monday,1.0,1.0,0.23666666666666666
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.0,0.265
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.05263157894736842,0.27166666666666667
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.10526315789473684,0.285
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.15789473684210525,0.2783333333333333
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.21052631578947367,0.2833333333333333
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.2631578947368421,0.2866666666666667
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.3157894736842105,0.29666666666666663
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.3684210526315789,0.29666666666666663
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.42105263157894735,0.2916666666666667
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.47368421052631576,0.3016666666666667
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.5263157894736842,0.3033333333333333
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.5789473684210527,0.3016666666666667
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.631578947368421,0.30666666666666664
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.6842105263157894,0.30666666666666664
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.7368421052631579,0.31
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.7894736842105263,0.30833333333333335
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.8421052631578947,0.30833333333333335
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.894736842105263,0.305
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,0.9473684210526315,0.305
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.0,1.0,0.30833333333333335
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.0,0.325
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.05263157894736842,0.3499999999999999
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.10526315789473684,0.3499999999999999
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.15789473684210525,0.35666666666666663
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.21052631578947367,0.3333333333333333
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.2631578947368421,0.3383333333333333
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.3157894736842105,0.32
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.3684210526315789,0.32499999999999996
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.42105263157894735,0.3316666666666667
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.47368421052631576,0.33
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.5263157894736842,0.32
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.0,0.5789473684210527,0.3283333333333333
