market,agent_pos,agent_id,action,share_pct
Tesla Robotaxi,0,12,LIMIT,10.0
Tesla Robotaxi,0,12,MARKET,0.0
Tesla Robotaxi,0,12,CANCEL,5.0
Tesla Robotaxi,0,12,HOLD,5.0
Tesla Robotaxi,0,12,SPLIT,5.0
Tesla Robotaxi,0,12,MERGE,0.0
Tesla Robotaxi,0,12,UPDATE_BELIEF,75.0
Tesla Robotaxi,1,10,LIMIT,9.523809523809524
Tesla Robotaxi,1,10,MARKET,0.0
Tesla Robotaxi,1,10,CANCEL,0.0
Tesla Robotaxi,1,10,HOLD,14.285714285714285
Tesla Robotaxi,1,10,SPLIT,4.761904761904762
Tesla Robotaxi,1,10,MERGE,0.0
Tesla Robotaxi,1,10,UPDATE_BELIEF,71.42857142857143
Tesla Robotaxi,2,14,LIMIT,15.0
Tesla Robotaxi,2,14,MARKET,0.0
Tesla Robotaxi,2,14,CANCEL,0.0
Tesla Robotaxi,2,14,HOLD,10.0
Tesla Robotaxi,2,14,SPLIT,5.0
Tesla Robotaxi,2,14,MERGE,0.0
Tesla Robotaxi,2,14,UPDATE_BELIEF,70.0
Tesla Robotaxi,3,0,LIMIT,13.636363636363635
Tesla Robotaxi,3,0,MARKET,0.0
Tesla Robotaxi,3,0,CANCEL,4.545454545454546
Tesla Robotaxi,3,0,HOLD,9.090909090909092
Tesla Robotaxi,3,0,SPLIT,4.545454545454546
Tesla Robotaxi,3,0,MERGE,0.0
Tesla Robotaxi,3,0,UPDATE_BELIEF,68.18181818181817
Tesla Robotaxi,4,3,LIMIT,14.285714285714285
Tesla Robotaxi,4,3,MARKET,0.0
Tesla Robotaxi,4,3,CANCEL,9.523809523809524
Tesla Robotaxi,4,3,HOLD,9.523809523809524
Tesla Robotaxi,4,3,SPLIT,0.0
Tesla Robotaxi,4,3,MERGE,0.0
Tesla Robotaxi,4,3,UPDATE_BELIEF,66.66666666666666
Tesla Robotaxi,5,6,LIMIT,20.0
Tesla Robotaxi,5,6,MARKET,0.0
