suite,start_mid,end_mid,truth,slug
c1_ethereum,0.565,0.47000000000000003,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.54,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.5700000000000001,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.49,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.55,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.5700000000000001,0.595,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.535,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.59,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.5700000000000001,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.585,0.56,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c1_robotaxi,0.495,0.395,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.495,0.395,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.45999999999999996,0.395,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.45999999999999996,0.45,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.45999999999999996,0.425,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.45999999999999996,0.445,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.45999999999999996,0.455,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.505,0.445,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.45999999999999996,0.395,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.45999999999999996,0.44,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.45999999999999996,0.47,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c1_robotaxi,0.505,0.45999999999999996,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_ethereum,0.565,0.02,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.49,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.04,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.595,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.545,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.09,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.585,0.595,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.61,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c3_robotaxi,0.45999999999999996,0.34,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.46,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.39,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.495,0.43500000000000005,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.44,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.39,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.42000000000000004,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.45,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.46,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.44,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.5,0.46,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c3_robotaxi,0.45999999999999996,0.435,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_ethereum,0.565,0.56,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_ethereum,0.565,0.5800000000000001,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_ethereum,0.565,0.585,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_ethereum,0.565,0.535,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_ethereum,0.565,0.61,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_ethereum,0.565,0.52,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_ethereum,0.565,0.525,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c4_robotaxi,0.45999999999999996,0.435,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_robotaxi,0.5,0.425,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_robotaxi,0.45999999999999996,0.485,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_robotaxi,0.45999999999999996,0.39,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_robotaxi,0.45999999999999996,0.435,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_robotaxi,0.45999999999999996,0.405,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_robotaxi,0.45999999999999996,0.465,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_robotaxi,0.485,0.45,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c4_robotaxi,0.45999999999999996,0.43,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c5_ethereum,0.565,0.605,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c5_ethereum,0.565,0.535,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c5_ethereum,0.565,0.5650000000000001,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c5_ethereum,0.565,0.535,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c5_ethereum,0.565,0.5650000000000001,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c5_ethereum,0.565,0.56,0.0,will-ethereum-reach-5000-in-august-614-348-169-974-494
c5_robotaxi,0.45999999999999996,0.44000000000000006,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c5_robotaxi,0.505,0.445,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c5_robotaxi,0.45999999999999996,0.425,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c5_robotaxi,0.45999999999999996,0.425,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c5_robotaxi,0.5,0.38,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
c5_robotaxi,0.45999999999999996,0.465,1.0,will-tesla-launch-a-driverless-robotaxi-service-by-october-31
rq1,0.515,0.515,0.0,nfl-bal-buf-2025-09-07
rq1,0.54,0.595,1.0,btc-above-100k-till-2025-end
rq1,0.325,0.29000000000000004,0.0,katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31
rq1,0.835,0.845,0.0,will-microstrategy-purchase-bitcoin-august-26-september-1
rq1,0.835,0.845,0.0,will-microstrategy-purchase-bitcoin-august-26-september-1
rq1,0.64,0.645,1.0,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
rq1,0.265,0.33,0.0,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
rq1,0.64,0.65,1.0,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
rq1,0.725,0.735,1.0,nfl-kc-nyg-2025-09-21
rq1,0.5,0.21,1.0,will-trump-deploy-national-guard-in-dc-by-monday
rq1,0.725,0.715,1.0,nfl-kc-nyg-2025-09-21
rq1,0.325,0.31,0.0,katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31
rq1,0.24,0.22499999999999998,0.0,will-bitcoin-reach-125k-in-july-846-114
rq1,0.24,0.24,0.0,lord-miles-completes-40-day-water-fast-in-the-dessert
rq1,0.24,0.28500000000000003,0.0,will-bitcoin-reach-125k-in-july-846-114
rq1,0.24,0.235,0.0,lord-miles-completes-40-day-water-fast-in-the-dessert
rq1,0.5,0.25,1.0,will-trump-deploy-national-guard-in-dc-by-monday
rq1,0.725,0.735,1.0,nfl-kc-nyg-2025-09-21
rq1,0.265,0.305,0.0,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
rq1,0.265,0.29,0.0,will-the-supreme-court-rule-in-favor-of-trumps-tariffs
rq1,0.525,0.525,0.0,nfl-bal-buf-2025-09-07
rq1,0.54,0.52,0.0,nfl-bal-buf-2025-09-07
rq1,0.24,0.19,0.0,will-bitcoin-reach-125k-in-july-846-114
rq1,0.24,0.24,0.0,lord-miles-completes-40-day-water-fast-in-the-dessert
rq1,0.58,0.5650000000000001,1.0,btc-above-100k-till-2025-end
rq1,0.325,0.34,0.0,katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31
rq1,0.5,0.25,1.0,will-trump-deploy-national-guard-in-dc-by-monday
rq1,0.54,0.545,1.0,btc-above-100k-till-2025-end
rq1,0.64,0.635,1.0,tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337
rq1,0.835,0.805,0.0,will-microstrategy-purchase-bitcoin-august-26-september-1
rq5,0.575,0.62,1.0,will-the-oklahoma-city-thunder-win-the-2026-nba-finals
rq5,0.575,0.495,1.0,will-the-oklahoma-city-thunder-win-the-2026-nba-finals
rq5,0.575,0.555,1.0,will-the-oklahoma-city-thunder-win-the-2026-nba-finals
